status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
8304333127_10154740054503128,"The new crop of fall TV shows is still rolling out, but consensus has already formed around one of the most outstanding debuts of the season: ""Atlanta,"" a comedy that announced itself not with belly laughs but with a self-assured tone and characters that defy sitcom norms.",Donald Glover and the Making of FX Hit 'Atlanta',link,http://on.wsj.com/2dvrrO1,2016-09-29 21:10:04,13,0,0,12,0,1,0,0,0
8304333127_10154740024598128,"When Donald J. Trump's casino company was facing a civil fraud investigation over its accounting practices, the New York businessman asked the SEC to show mercy because of the Sept. 11, 2001, terrorist attacks.",Donald Trump Pointed to 9/11 Attacks in Asking SEC for Leniency During Fraud Probe,link,http://on.wsj.com/2ddOq2m,2016-09-29 20:50:03,91,24,16,50,0,3,17,1,20
8304333127_10154740000363128,"As the Stanford Cardinal prepare for a crucial matchup at Washington on Friday, they are also gearing up for what will be their first game outside California in almost a year.",It Turns Out Stanford is a State School After All,link,http://on.wsj.com/2deO0Ya,2016-09-29 20:30:46,33,2,2,32,0,1,0,0,0
8304333127_10154739929488128,"Facebook plans a major ad campaign, including TV spots and billboards, to encourage more of its 1.7 billion users to stream live video on the social network.",Facebook Ad Campaign Will Urge Users to Stream Live Video,link,http://on.wsj.com/2ddIZke,2016-09-29 20:10:06,35,2,6,35,0,0,0,0,0
8304333127_10154739883733128,Some lawmakers have expressed buyer's remorse after overriding President Obama's veto of legislation letting Americans sue foreign governments over terrorist attacks.,Congress Looks to Curtail Bill Allowing Terror Victims to Sue Foreign Governments,link,http://on.wsj.com/2d9GsXo,2016-09-29 19:50:02,217,56,92,150,1,15,29,1,21
8304333127_10154739834493128,"A war is breaking out between Coke and Pepsi, but this time it isn't about cola. It's coffee.","Coca-Cola to Produce, Distribute Bottled Dunkin' Donuts Coffee",link,http://on.wsj.com/2dbdSbx,2016-09-29 19:30:20,534,41,114,479,17,29,9,0,0
8304333127_10154739778693128,Andrea Arnold's road movie tracks the odyssey of a wayward teen across the Bible Belt.,'American Honey' Review: Door-to-Door Revelations,link,http://on.wsj.com/2db1Grg,2016-09-29 19:10:03,21,0,2,18,2,0,0,1,0
8304333127_10154739744273128,Some homeowners—whether procrastinators or perfectionists—take years and spend hundreds of thousands of dollars on home improvements.,The Home Renovation That Never Ends,link,http://on.wsj.com/2cEVHtf,2016-09-29 18:50:03,44,4,11,43,1,0,0,0,0
8304333127_10154739713113128,Donald J. Trump traveled to New Hampshire for the sixth time since mid-June in a determined drive for the state's tiny cache of four electoral votes.,Donald Trump Pushes Hard for New Hampshire,link,http://on.wsj.com/2db6g8V,2016-09-29 18:30:20,71,32,5,54,5,1,11,0,0
8304333127_10154739680198128,"More than 15 million copies of Paula Hawkins's ""The Girl on the Train"" have been sold globally, presenting a challenge to the filmmakers tasked with adapting the novel to film. How do you make a thriller when much of the world already knows the ending?",How 'The Girl on the Train' was Retrofitted for the Screen,link,http://on.wsj.com/2deAIed,2016-09-29 18:10:04,60,5,9,59,1,0,0,0,0
8304333127_10154739636068128,Officials in Oregon are working to address concerns of marijuana businesses that say delays in the state processing regulatory applications threaten chaos for the industry when new rules take effect on Saturday.,Oregon Scrambling to Implement New Marijuana Rules,link,http://on.wsj.com/2cZzouu,2016-09-29 17:50:06,35,4,7,34,1,0,0,0,0
8304333127_10154739600118128,"""At first, nothing seemed amiss Thursday morning in Hoboken as I stepped off my Bergen County commuter train...Then I saw the train under the roof wreckage. The train from Pascack Valley had crashed into the station just minutes before.""",A Firsthand Account of the Hoboken Train Crash Scene,link,http://on.wsj.com/2ddEpmb,2016-09-29 17:30:21,30,1,1,23,0,1,0,6,0
8304333127_10154739564058128,"Google has quietly opened its Waze ride-sharing service to San Francisco-area users, expanding a pilot program and confirming the company's interest in the lucrative ride-hailing industry.",Google Quietly Expands Ride-Sharing Service,link,http://on.wsj.com/2dhEsfx,2016-09-29 17:10:07,48,3,10,43,2,3,0,0,0
8304333127_10154739497238128,"In a speech to hundreds of employees, AT&T Chief Executive Randall Stephenson spoke about racial tensions in American communities and urged his employees to begin a conversation to find common ground.",AT&T CEO Calls for Dialogue on Racial Tensions: 'Tolerance Is for Cowards',link,http://on.wsj.com/2deCo7v,2016-09-29 16:50:07,166,25,42,152,8,3,3,0,0
8304333127_10154739437458128,"Hackers used an army of hijacked security cameras and video recorders to launch several massive internet attacks last week, prompting fresh concern about the vulnerability of millions of ""smart"" devices ​in homes and businesses.","Hackers Infect Army of Cameras, DVRs for Massive Internet Attacks",link,http://on.wsj.com/2dy9y5r,2016-09-29 16:30:07,84,7,26,65,2,12,1,1,3
8304333127_10154739390678128,"On Friday, as the Ryder Cup competition gets underway, 12 U.S. golfers, their captain, five vice-captains and a shrink will embark on what has become this country's most Sisyphean task in international sports.",2016 Ryder Cup: Can Rattled U.S. Golfers Stop Euro Domination?,link,http://on.wsj.com/2d9ucX5,2016-09-29 16:10:04,19,4,2,19,0,0,0,0,0
8304333127_10154739320663128,"If Donald Trump wins Ohio, it may be because of the groundwork laid by Rob Portman, the state's Republican senator who avoided the stage, the presidential nominee and the spotlight during the Republican Party's Cleveland convention in July.",Rob Portman May Provide Reverse Coattails for Donald Trump in Ohio,link,http://on.wsj.com/2daUECL,2016-09-29 15:50:04,71,15,9,62,3,1,2,2,1
8304333127_10154739279658128,"The federal government twice tried to deport Alfred Olango, a Ugandan refugee whose death at the hands of police sparked a second night of protests in Southern California Wednesday.",U.S. Twice Tried to Deport Man Fatally Shot by Police in California,link,http://on.wsj.com/2cEMxgk,2016-09-29 15:30:18,91,23,17,67,1,7,1,3,12
8304333127_10154739168548128,"A tax break for Olympic winners sailed through the U.S. Senate. The legislation, reviled by tax experts but given a perfect 10 by politicians, creates a new exemption for medal winners.",Tax Break for Olympic Medal Winners Nears Finish Line,link,http://on.wsj.com/2duWaQ1,2016-09-29 15:13:09,159,32,13,143,5,2,5,0,4
8304333127_10154739076003128,This all-wheel-drive crossover is Subaru's granola-y icon. But what makes legions of drivers so devoted to the Outback?,2017 Subaru Outback Review: A Cult Leader With All-Wheel Drive,link,http://on.wsj.com/2d9hkjn,2016-09-29 14:43:12,46,7,6,44,2,0,0,0,0
8304333127_10154739019133128,"Spending on political advertising on local broadcast television in 2016 is expected to reach $2.8 billion, about $300 million less than what was spent in 2012—a result of the Trump campaign's strategy.",Political TV Advertising Is Forecast to Fall This Election Season,link,http://on.wsj.com/2d9dOpn,2016-09-29 14:21:44,54,25,8,54,0,0,0,0,0
8304333127_10154738924068128,"The Marine Corps punitively discharged a private who alerted officials to abusive hazing practices at its Parris Island boot camp, an action that came months before a recruit assigned to the same training battalion jumped from a building and died.",Former Marine Offers Details of Harsh Practices at Parris Island,link,http://on.wsj.com/2dhm2LF,2016-09-29 13:40:06,192,96,43,141,1,15,4,7,24
8304333127_10154738882063128,Key U.S. lawmakers from both parties vented their frustrations with the Obama administration's Syria policy on Thursday as a collapsed cease-fire arrangement offered little hope of a revival.,Administration's Failed Syria Truce Assailed by Senators,link,http://on.wsj.com/2de5Ome,2016-09-29 13:20:09,49,15,9,43,0,0,4,1,1
8304333127_10154738796068128,Jaguar Land Rover unveiled the latest edition of its Discovery SUV ahead of the Paris Motor Show on Wednesday. The car can have its own Wi-Fi network and has an app that allows you to remotely configure the seats.,Land Rover Unveils New Discovery for the Digital Age,video,http://on.wsj.com/2duFO5l,2016-09-29 13:00:45,126,10,9,123,2,0,0,1,0
8304333127_10154738753093128,"Celestial prognosticators use candidates' exact birth times for election analysis, and Hillary Clinton's isn't known, which presents a problem.",Who's Demanding to See Hillary Clinton's Birth Certificate? Baffled Astrologers,link,http://on.wsj.com/2daotn3,2016-09-29 12:40:14,199,37,49,160,0,5,34,0,0
8304333127_10154738717548128,At least one person is dead and more than 100 injured after an NJ Transit commuter train crashed into the Hoboken rail station in New Jersey during the height of rush hour Thursday morning. Full story: http://on.wsj.com/2cEuyGA,N.J. Train Crashes Into Hoboken Station Injuring Dozens,video,http://on.wsj.com/2dhcPmL,2016-09-29 12:20:03,81,4,23,47,0,9,0,25,0
8304333127_10154738670243128,"After praising Lester Holt immediately after Monday's presidential debate, Republican candidate Donald J. Trump said the NBC News anchor ""badgered"" him and wasn't as tough on Hillary Clinton.",Donald Trump Changes His Tune on Debate Moderator,link,http://on.wsj.com/2dcV3SE,2016-09-29 12:00:32,861,1065,139,514,13,19,213,8,94
8304333127_10154738556478128,"Police groups are pushing back against what they say is unfair scrutiny of fatal police shootings of black men this month, which have brought outrage and condemnation from community leaders and some politicians.",Police Push Back at Scrutiny of Fatal Shootings,link,http://on.wsj.com/2cEoSwo,2016-09-29 11:40:14,120,39,10,106,2,1,2,1,8
8304333127_10154738495303128,"The more missteps Gary Johnson makes, the more likely it becomes that his supporters will migrate to Donald Trump or Hillary Clinton and affect the very close contest between the major-party candidates.",Why Gary Johnson's Second 'Aleppo Moment' Matters,link,http://on.wsj.com/2dcPC6o,2016-09-29 11:20:09,513,293,99,412,10,15,58,11,7
8304333127_10154738441383128,"Donald Trump's campaign has advised his surrogates how to bring up Bill Clinton's past infidelities in media interviews, even as they publicly praise the candidate for showing ""restraint,"" ""courage"" and ""self-control"" by not raising the issue in Monday night's debate.",Trump Team Coaches Surrogates How to Attack Hillary Clinton Over Husband's Dalliances,link,http://on.wsj.com/2daaX2H,2016-09-29 11:01:46,211,223,29,106,6,8,38,5,48
8304333127_10154738396133128,"The relationship between CBS chief Leslie Moonves and Shari Redstone holds the key to whether she can pull off what would be a dramatic finale to a year of corporate drama, by putting back together the two companies her father split apart a decade ago.",Can CBS and Viacom Merge? It Depends on the Redstone-Moonves Dance,link,http://on.wsj.com/2cEkNbE,2016-09-29 10:43:35,27,3,2,26,0,0,0,1,0
8304333127_10154738182098128,Lunch Break with Tanya Rivero:  Beware of fake IRS emails coming to your inbox. HBO Class Divide' looks at the economic and educational division in the U.S. How Vineyard Vines survives an ever-changing fashion industry.,Beware! Fake IRS emails are coming to your inbox; the economic...,video,https://www.facebook.com/wsj/videos/10154738182098128/,2016-09-29 10:31:44,320,25,65,301,15,3,0,0,1
8304333127_10154738347953128,"Ferrari pulled back the cloth on its new GTC4LussoT at the Paris Motor Show on Thursday. The car joins its big brother, the V12-engined GTC4Lusso.",Ferrari Unveils Its New Four-Seater V8,video,http://on.wsj.com/2dufZlY,2016-09-29 10:20:14,726,55,113,673,26,24,2,1,0
